Bin ID,Fullness,fullnessThreshold,timestamp,reason,year,month,day,day_of_week,fullness_change
1510830,1,6,2018-09-12,NOT_READY,2018,9,12,2,1.0
1510830,3,6,2018-09-13,FULLNESS,2018,9,13,3,2.0
1510830,0,6,2018-09-14,NOT_READY,2018,9,14,4,-3.0
1510830,3,6,2018-09-15,FULLNESS,2018,9,15,5,3.0
1510830,0,6,2018-09-16,NOT_READY,2018,9,16,6,-3.0
1510830,1,6,2018-09-17,NOT_READY,2018,9,17,0,1.0
1510830,2,6,2018-09-18,NOT_READY,2018,9,18,1,1.0
1510830,4,6,2018-09-19,FULLNESS,2018,9,19,2,2.0
1510830,0,6,2018-09-20,NOT_READY,2018,9,20,3,-4.0
1510830,0,6,2018-09-21,NOT_READY,2018,9,21,4,0.0
1510830,3,6,2018-09-22,FULLNESS,2018,9,22,5,3.0
1510830,0,6,2018-09-23,NOT_READY,2018,9,23,6,-3.0
1510830,0,6,2018-09-24,NOT_READY,2018,9,24,0,0.0
1510830,3,6,2018-09-25,FULLNESS,2018,9,25,1,3.0
1510830,0,6,2018-09-26,NOT_READY,2018,9,26,2,-3.0
1510830,3,6,2018-09-27,FULLNESS,2018,9,27,3,3.0
1510830,0,6,2018-09-28,NOT_READY,2018,9,28,4,-3.0
1510830,0,6,2018-09-29,NOT_READY,2018,9,29,5,0.0
1510830,3,6,2018-09-30,FULLNESS,2018,9,30,6,3.0
1510830,0,6,2018-10-01,NOT_READY,2018,10,1,0,-3.0
1510830,0,6,2018-10-02,NOT_READY,2018,10,2,1,0.0
1510830,0,6,2018-10-03,NOT_READY,2018,10,3,2,0.0
1510830,2,6,2018-10-04,NOT_READY,2018,10,4,3,2.0
1510830,4,6,2018-10-05,FULLNESS,2018,10,5,4,2.0
1510830,0,6,2018-10-06,NOT_READY,2018,10,6,5,-4.0
1510830,1,6,2018-10-07,NOT_READY,2018,10,7,6,1.0
1510830,2,6,2018-10-08,NOT_READY,2018,10,8,0,1.0
1510830,4,6,2018-10-09,FULLNESS,2018,10,9,1,2.0
1510830,0,6,2018-10-10,NOT_READY,2018,10,10,2,-4.0
1510830,0,6,2018-10-11,NOT_READY,2018,10,11,3,0.0
1510830,2,6,2018-10-12,NOT_READY,2018,10,12,4,2.0
1510830,3,6,2018-10-13,FULLNESS,2018,10,13,5,1.0
1510830,0,6,2018-10-14,NOT_READY,2018,10,14,6,-3.0
1510830,2,6,2018-10-15,NOT_READY,2018,10,15,0,2.0
1510830,2,6,2018-10-16,NOT_READY,2018,10,16,1,0.0
1510830,2,6,2018-10-17,NOT_READY,2018,10,17,2,0.0
1510830,4,6,2018-10-18,FULLNESS,2018,10,18,3,2.0
1510830,0,6,2018-10-19,NOT_READY,2018,10,19,4,-4.0
1510830,2,6,2018-10-20,NOT_READY,2018,10,20,5,2.0
1510830,4,6,2018-10-21,FULLNESS,2018,10,21,6,2.0
1510830,0,6,2018-10-22,NOT_READY,2018,10,22,0,-4.0
1510830,0,6,2018-10-23,NOT_READY,2018,10,23,1,0.0
1510830,0,6,2018-10-24,NOT_READY,2018,10,24,2,0.0
1510830,2,6,2018-10-25,NOT_READY,2018,10,25,3,2.0
1510830,4,6,2018-10-26,FULLNESS,2018,10,26,4,2.0
1510830,0,6,2018-10-27,NOT_READY,2018,10,27,5,-4.0
1510830,1,6,2018-10-28,NOT_READY,2018,10,28,6,1.0
1510830,3,6,2018-10-29,FULLNESS,2018,10,29,0,2.0
1510830,0,6,2018-10-30,NOT_READY,2018,10,30,1,-3.0
1510830,0,6,2018-10-31,NOT_READY,2018,10,31,2,0.0
1510830,2,6,2018-11-01,NOT_READY,2018,11,1,3,2.0
1510830,3,6,2018-11-02,FULLNESS,2018,11,2,4,1.0
1510830,0,6,2018-11-03,NOT_READY,2018,11,3,5,-3.0
1510830,3,6,2018-11-04,FULLNESS,2018,11,4,6,3.0
1510830,0,6,2018-11-05,NOT_READY,2018,11,5,0,-3.0
1510830,0,6,2018-11-06,NOT_READY,2018,11,6,1,0.0
1510830,0,6,2018-11-07,NOT_READY,2018,11,7,2,0.0
1510830,2,6,2018-11-08,NOT_READY,2018,11,8,3,2.0
1510830,3,6,2018-11-09,FULLNESS,2018,11,9,4,1.0
1510830,5,6,2018-11-23,FULLNESS,2018,11,23,4,2.0
1510830,2,6,2018-11-29,NOT_READY,2018,11,29,3,-3.0
1510830,2,6,2018-11-29,NOT_READY,2018,11,29,3,0.0
1510830,2,6,2018-11-29,NOT_READY,2018,11,29,3,0.0
1510830,2,6,2018-11-29,NOT_READY,2018,11,29,3,0.0
1510830,2,6,2018-11-29,NOT_READY,2018,11,29,3,0.0
1510830,2,6,2018-11-29,NOT_READY,2018,11,29,3,0.0
1510830,3,6,2018-11-30,FULLNESS,2018,11,30,4,1.0
1510830,0,6,2018-12-01,NOT_READY,2018,12,1,5,-3.0
1510830,1,6,2018-12-02,NOT_READY,2018,12,2,6,1.0
1510830,0,6,2018-12-03,NOT_READY,2018,12,3,0,-1.0
1510830,0,6,2018-12-04,NOT_READY,2018,12,4,1,0.0
1510830,0,6,2018-12-05,NOT_READY,2018,12,5,2,0.0
1510830,2,6,2018-12-06,NOT_READY,2018,12,6,3,2.0
1510830,5,6,2018-12-07,FULLNESS,2018,12,7,4,3.0
1510830,0,6,2018-12-08,NOT_READY,2018,12,8,5,-5.0
1510830,0,6,2018-12-09,NOT_READY,2018,12,9,6,0.0
1510830,0,6,2018-12-10,NOT_READY,2018,12,10,0,0.0
1510830,0,6,2018-12-11,NOT_READY,2018,12,11,1,0.0
1510830,2,6,2018-12-12,NOT_READY,2018,12,12,2,2.0
1510830,0,6,2018-12-15,NOT_READY,2018,12,15,5,-2.0
1510830,0,6,2018-12-16,NOT_READY,2018,12,16,6,0.0
1510830,1,6,2018-12-17,NOT_READY,2018,12,17,0,1.0
1510830,1,6,2018-12-18,NOT_READY,2018,12,18,1,0.0
1510830,1,6,2018-12-26,NOT_READY,2018,12,26,2,0.0
1510830,1,6,2018-12-26,NOT_READY,2018,12,26,2,0.0
1510830,3,6,2018-12-27,FULLNESS,2018,12,27,3,2.0
1510830,3,6,2018-12-28,FULLNESS,2018,12,28,4,0.0
1510830,3,6,2018-12-29,FULLNESS,2018,12,29,5,0.0
1510830,3,6,2018-12-30,FULLNESS,2018,12,30,6,0.0
1510830,0,6,2018-12-31,NOT_READY,2018,12,31,0,-3.0
1510830,0,6,2019-01-01,NOT_READY,2019,1,1,1,0.0
1510830,0,6,2019-01-02,NOT_READY,2019,1,2,2,0.0
1510830,0,6,2019-01-03,NOT_READY,2019,1,3,3,0.0
1510830,0,6,2019-01-04,NOT_READY,2019,1,4,4,0.0
1510830,0,6,2019-01-05,NOT_READY,2019,1,5,5,0.0
1510830,0,6,2019-01-06,NOT_READY,2019,1,6,6,0.0
1510830,0,6,2019-01-07,NOT_READY,2019,1,7,0,0.0
1510830,1,6,2019-01-08,NOT_READY,2019,1,8,1,1.0
1510830,1,6,2019-01-09,NOT_READY,2019,1,9,2,0.0
